Node,Parent
211_SHELL_PANELS_SEPARATE_SHELL_PLATES,21_AFTERBODY
214_1_DECK_W_STIFFENING,21_AFTERBODY
216_STERN_SECTIONS_STERN_TUBE_BULKHEADS,21_AFTERBODY
216001_Afterpeak_tanks,216_STERN_SECTIONS_STERN_TUBE_BULKHEADS
216002_Stern_tanks,216_STERN_SECTIONS_STERN_TUBE_BULKHEADS
216003_Water_ballast_tanks,216_STERN_SECTIONS_STERN_TUBE_BULKHEADS
216004_FW_tanks,216_STERN_SECTIONS_STERN_TUBE_BULKHEADS
216005_Steering_gear_room_aft,216_STERN_SECTIONS_STERN_TUBE_BULKHEADS
216010_Car_bridge_recess_aft,216_STERN_SECTIONS_STERN_TUBE_BULKHEADS
216015_Side_thruster_tunnel,216_STERN_SECTIONS_STERN_TUBE_BULKHEADS
216020_Stern_tube_bulkhead_room_aft,216_STERN_SECTIONS_STERN_TUBE_BULKHEADS
218_STERN_FRAME_SECTIONS,21_AFTERBODY
218001_Stern_boss,218_STERN_FRAME_SECTIONS
218003_Rudder_boss_cast_steel,218_STERN_FRAME_SECTIONS
218004_Stern_boss_lining,218_STERN_FRAME_SECTIONS
218005_Intermediate_piece_1_cast_steel,218_STERN_FRAME_SECTIONS
218006_Rudder_trunk,218_STERN_FRAME_SECTIONS
218007_Stern_tube_boss,218_STERN_FRAME_SECTIONS
218009_Intermediate_piece_2_cast_steel,218_STERN_FRAME_SECTIONS
218011_Heel_piece_cast_steel,218_STERN_FRAME_SECTIONS
218020_Stern_frame_cast_steel,218_STERN_FRAME_SECTIONS
22_ENGINE_AREA,2_HULL
220_GENERAL,22_ENGINE_AREA
220001_FO_storage_tanks,220_GENERAL
220005_FO_settling_tanks,220_GENERAL
220007_FO_service_tanks,220_GENERAL
220009_DO_storage_tanks,220_GENERAL
220013_DO_settling_tanks,220_GENERAL
220015_DO_day_tanks,220_GENERAL
220017_FO_waste_tanks,220_GENERAL
220019_FO_overflow_tanks,220_GENERAL
220021_FO_drain_tanks,220_GENERAL
220025_LO_system_tanks,220_GENERAL
220027_System_oil_tanks_clean,220_GENERAL
220029_System_oil_tanks_dirty,220_GENERAL
220031_Turbine_oil_storage_tanks,220_GENERAL
220033_Turbine_oil_gravity_tanks,220_GENERAL
220035_Cylinder_oil_storage_tanks,220_GENERAL
220037_HDO_storage_tanks,220_GENERAL
220039_LO_drain_tanks,220_GENERAL
220041_LO_waste_tanks,220_GENERAL
220045_FW_tanks,220_GENERAL
220050_Distilled_water_tanks,220_GENERAL
220055_Water_ballast_tanks,220_GENERAL
221_SHELL_PANELS_SEPARATE_SHELL_PLATES,22_ENGINE_AREA
222_BOTTOM_KEEL_and_BILGE_PLATES_W_STIFFENING,22_ENGINE_AREA
223_INNER_BOTTOM_W_STIFFENING_ENGINE_FOUNDATIONS,22_ENGINE_AREA
223001_ME_foundations,223_INNER_BOTTOM_W_STIFFENING_ENGINE_FOUNDATIONS
223003_MT_foundations,223_INNER_BOTTOM_W_STIFFENING_ENGINE_FOUNDATIONS
223005_Main_condenser_foundations,223_INNER_BOTTOM_W_STIFFENING_ENGINE_FOUNDATIONS
223007_Main_reduction_gear_foundations,223_INNER_BOTTOM_W_STIFFENING_ENGINE_FOUNDATIONS
223010_Main_boiler_foundations,223_INNER_BOTTOM_W_STIFFENING_ENGINE_FOUNDATIONS
223015_Aux_boiler_foundations,223_INNER_BOTTOM_W_STIFFENING_ENGINE_FOUNDATIONS
223017_AE_foundations,223_INNER_BOTTOM_W_STIFFENING_ENGINE_FOUNDATIONS
223020_TG_foundations,223_INNER_BOTTOM_W_STIFFENING_ENGINE_FOUNDATIONS
223022_Shaft_bearing_foundations,223_INNER_BOTTOM_W_STIFFENING_ENGINE_FOUNDATIONS
223025_Stern_tube_foundations,223_INNER_BOTTOM_W_STIFFENING_ENGINE_FOUNDATIONS
224_1_DECK_W_STIFFENING,22_ENGINE_AREA
226_DECKS_PLATFORMS_BULKHEADS_and_HULL_TANKS_BELOW_1_DECK,22_ENGINE_AREA
226001_Engine_room_decks_w_stiffeners,226_DECKS_PLATFORMS_BULKHEADS_and_HULL_TANKS_BELOW_1_DECK
226010_Engine_room_platforms,226_DECKS_PLATFORMS_BULKHEADS_and_HULL_TANKS_BELOW_1_DECK
226020_Engine_room_bulkhead,226_DECKS_PLATFORMS_BULKHEADS_and_HULL_TANKS_BELOW_1_DECK
226030_FO_tanks,226_DECKS_PLATFORMS_BULKHEADS_and_HULL_TANKS_BELOW_1_DECK
226040_ME_FO_settling_tanks,226_DECKS_PLATFORMS_BULKHEADS_and_HULL_TANKS_BELOW_1_DECK
226041_ME_FO_day_tanks,226_DECKS_PLATFORMS_BULKHEADS_and_HULL_TANKS_BELOW_1_DECK
226043_ME_DO_day_tanks,226_DECKS_PLATFORMS_BULKHEADS_and_HULL_TANKS_BELOW_1_DECK
226050_Engine_room_LO_tanks,226_DECKS_PLATFORMS_BULKHEADS_and_HULL_TANKS_BELOW_1_DECK
226060_ME_system_oil_tanks,226_DECKS_PLATFORMS_BULKHEADS_and_HULL_TANKS_BELOW_1_DECK
226065_AE_system_oil_tanks,226_DECKS_PLATFORMS_BULKHEADS_and_HULL_TANKS_BELOW_1_DECK
226070_ME_cylinder_oil_tanks,226_DECKS_PLATFORMS_BULKHEADS_and_HULL_TANKS_BELOW_1_DECK
23_CARGO_AREA_-_HULL_SMALL_VESSELS,2_HULL
